time_bin,detectorID,density_attack,density_base,LOS_attack,LOS_base,distance
1200.0,E0_2200m,36.4998312,36.532018,E,E,2200
1200.0,E0_2300m,36.8056058,36.773419000000004,E,E,2300
1200.0,E0_2400m,37.0631002,36.902166199999996,E,E,2400
1200.0,E0_2500m,37.3045012,37.0470068,E,E,2500
1200.0,E0_2600m,37.787303200000004,37.1918474,E,E,2600
1200.0,E0_2700m,38.4149458,37.3045012,E,E,2700
1200.0,E0_2800m,39.412736599999995,37.4815286,E,E,2800
1200.0,E0_2900m,40.9255162,37.7068362,E,E,2900
1200.0,E0_3000m,42.3417354,37.8516768,E,E,3000
1200.0,E0_3100m,42.2773618,37.948237199999994,E,E,3100
1200.0,E0_3200m,42.3578288,38.0287042,E,E,3200
1200.0,E0_3300m,42.325642,38.1252646,E,E,3300
1200.0,E0_3400m,42.406109,38.2057316,E,E,3400
1200.0,E0_3500m,42.422202399999996,38.2057316,E,E,3500
1200.0,E0_3600m,42.4382958,38.237918400000005,E,E,3600
1200.0,E0_3700m,42.325642,38.2540118,E,E,3700
1200.0,E0_3800m,42.196894799999995,38.237918400000005,E,E,3800
1200.0,E0_3900m,41.199104000000005,38.221825,E,E,3900
1200.0,E0_4000m,37.5941824,38.2701052,E,E,4000
1200.0,E0_4100m,36.371084,38.350572199999995,E,E,4100
1200.0,E0_4200m,36.4354576,38.398852399999996,E,E,4200
1200.0,E0_4300m,36.5802982,38.4149458,E,E,4300
1200.0,E0_4400m,36.7090454,38.3344788,E,E,4400
1200.0,E0_4500m,36.7573256,38.350572199999995,E,E,4500
1200.0,E0_4600m,36.8860728,38.3183854,E,E,4600
1200.0,E0_4700m,36.934353,38.237918400000005,E,E,4700
1200.0,E0_4800m,37.0470068,38.060891,E,E,4800
1200.0,E0_4900m,37.0470068,38.0447976,E,E,4900
1500.0,E0_0m,34.8583044,34.439876,D,D,0
1500.0,E0_100m,35.1801724,35.003144999999996,E,E,100
1500.0,E0_200m,35.2123592,35.0192384,E,E,200
1500.0,E0_300m,35.325013,35.2606394,E,E,300
1500.0,E0_400m,35.5342272,35.485947,E,E,400
1500.0,E0_500m,35.7434414,35.7434414,E,E,500
1500.0,E0_600m,35.8721886,35.8560952,E,E,600
1500.0,E0_700m,36.017029199999996,36.0653094,E,E,700
1500.0,E0_800m,36.194056599999996,36.21015,E,E,800
1500.0,E0_900m,36.3549906,36.4032708,E,E,900
1500.0,E0_1000m,36.5802982,36.5963916,E,E,1000
1500.0,E0_1100m,36.7090454,36.7573256,E,E,1100
1500.0,E0_1200m,36.8699794,36.8860728,E,E,1200
1500.0,E0_1300m,37.01482,36.9826332,E,E,1300
1500.0,E0_1400m,37.0470068,37.0470068,E,E,1400
1500.0,E0_1500m,37.0631002,37.1274738,E,E,1500
1500.0,E0_1600m,37.1274738,37.095287,E,E,1600
1500.0,E0_1700m,37.1435672,37.0631002,E,E,1700
1500.0,E0_1800m,37.2240342,37.079193599999996,E,E,1800
1500.0,E0_1900m,37.2240342,37.111380399999994,E,E,1900
1500.0,E0_2000m,37.2884078,37.2079408,E,E,2000
1500.0,E0_2100m,37.256221,37.2079408,E,E,2100
1500.0,E0_2200m,37.2723144,37.2079408,E,E,2200
1500.0,E0_2300m,37.256221,37.1435672,E,E,2300
1500.0,E0_2400m,37.433248400000004,37.2079408,E,E,2400
1500.0,E0_2500m,37.578089000000006,37.256221,E,E,2500
1500.0,E0_2600m,37.9643306,37.3045012,E,E,2600
1500.0,E0_2700m,38.5115062,37.3045012,E,E,2700
1500.0,E0_2800m,39.3966432,37.3527814,E,E,2800
1500.0,E0_2900m,40.7484888,37.4010616,E,E,2900
1500.0,E0_3000m,42.1003344,37.3688748,E,E,3000
1500.0,E0_3100m,42.116427800000004,37.4010616,E,E,3100
1500.0,E0_3200m,42.1325212,37.3688748,E,E,3200
1500.0,E0_3300m,42.116427800000004,37.4010616,E,E,3300
1500.0,E0_3400m,42.1486146,37.4010616,E,E,3400
1500.0,E0_3500m,42.196894799999995,37.4493418,E,E,3500
1500.0,E0_3600m,42.196894799999995,37.4815286,E,E,3600
1500.0,E0_3700m,42.2129882,37.5619956,E,E,3700
1500.0,E0_3800m,42.003774,37.5459022,E,E,3800
1500.0,E0_3900m,40.9737964,37.4493418,E,E,3900
1500.0,E0_4000m,36.8216992,37.3849682,E,E,4000
1500.0,E0_4100m,35.3411064,37.336687999999995,E,E,4100
1500.0,E0_4200m,35.131892199999996,37.2401276,E,E,4200
1500.0,E0_4300m,35.228452600000004,37.3205946,E,E,4300
1500.0,E0_4400m,35.2606394,37.3527814,E,E,4400
1500.0,E0_4500m,35.3411064,37.3849682,E,E,4500
1500.0,E0_4600m,35.485947,37.3688748,E,E,4600
1500.0,E0_4700m,35.566414,37.2884078,E,E,4700
1500.0,E0_4800m,35.6951612,37.256221,E,E,4800
1500.0,E0_4900m,35.807815,37.2240342,E,E,4900
1800.0,E0_0m,33.9248872,33.6995796,D,D,0
1800.0,E0_100m,34.1823816,34.118007999999996,D,D,100
1800.0,E0_200m,34.166288200000004,34.1341014,D,D,200
1800.0,E0_300m,34.278942,34.278942,D,D,300
1800.0,E0_400m,34.391595800000005,34.4076892,D,D,400
1800.0,E0_500m,34.5042496,34.552529799999995,D,D,500
1800.0,E0_600m,34.6973704,34.6651836,D,D,600
1800.0,E0_700m,34.777837399999996,34.8100242,D,D,700
1800.0,E0_800m,35.0675186,34.9709582,E,D,800
1800.0,E0_900m,35.325013,35.244546,E,E,900
1800.0,E0_1000m,35.3732932,35.325013,E,E,1000
1800.0,E0_1100m,35.5342272,35.4215734,E,E,1100
1800.0,E0_1200m,35.6629744,35.5986008,E,E,1200
1800.0,E0_1300m,35.8560952,35.7434414,E,E,1300
1800.0,E0_1400m,36.0009358,35.8721886,E,E,1400
1800.0,E0_1500m,36.113589600000005,36.0009358,E,E,1500
1800.0,E0_1600m,36.129683,36.0331226,E,E,1600
1800.0,E0_1700m,36.21015,36.1618698,E,E,1700
1800.0,E0_1800m,36.3549906,36.4032708,E,E,1800
1800.0,E0_1900m,36.4837378,36.5642048,E,E,1900
1800.0,E0_2000m,36.6285784,36.692952,E,E,2000
1800.0,E0_2100m,36.8216992,36.853885999999996,E,E,2100
1800.0,E0_2200m,36.934353,36.9665398,E,E,2200
1800.0,E0_2300m,37.1435672,37.0631002,E,E,2300
1800.0,E0_2400m,37.2884078,37.1435672,E,E,2400
1800.0,E0_2500m,37.4815286,37.2240342,E,E,2500
1800.0,E0_2600m,37.8033966,37.2723144,E,E,2600
1800.0,E0_2700m,38.2057316,37.3045012,E,E,2700
1800.0,E0_2800m,39.155242199999996,37.4815286,E,E,2800
1800.0,E0_2900m,40.5070878,37.6424626,E,E,2900
1800.0,E0_3000m,41.9072136,37.81949,E,E,3000
1800.0,E0_3100m,41.6979994,37.916050399999996,E,E,3100
1800.0,E0_3200m,41.681906,37.9965174,E,E,3200
1800.0,E0_3300m,41.7462796,38.1091712,E,E,3300
1800.0,E0_3400m,41.8267466,38.1574514,E,E,3400
1800.0,E0_3500m,41.7301862,38.221825,E,E,3500
1800.0,E0_3600m,41.6658126,38.2540118,E,E,3600
1800.0,E0_3700m,41.6979994,38.1252646,E,E,3700
1800.0,E0_3800m,41.6497192,38.1896382,E,E,3800
1800.0,E0_3900m,40.8128624,38.173544799999995,E,E,3900
1800.0,E0_4000m,37.1596606,38.2861986,E,E,4000
1800.0,E0_4100m,36.049215999999994,38.3344788,E,E,4100
1800.0,E0_4200m,36.0009358,38.2861986,E,E,4200
1800.0,E0_4300m,36.129683,38.302292,E,E,4300
1800.0,E0_4400m,36.2584302,38.2861986,E,E,4400
1800.0,E0_4500m,36.3228038,38.302292,E,E,4500
1800.0,E0_4600m,36.3067104,38.1896382,E,E,4600
1800.0,E0_4700m,36.3871774,38.221825,E,E,4700
1800.0,E0_4800m,36.4676444,38.173544799999995,E,E,4800
1800.0,E0_4900m,36.5481114,38.0769844,E,E,4900
2100.0,E0_0m,33.79614,33.4259918,D,D,0
2100.0,E0_100m,34.1501948,33.989260800000004,D,D,100
2100.0,E0_200m,34.1341014,33.957074,D,D,200
2100.0,E0_300m,34.327222199999994,34.214568400000005,D,D,300
2100.0,E0_400m,34.4237826,34.359409,D,D,400
2100.0,E0_500m,34.6329968,34.5686232,D,D,500
2100.0,E0_600m,34.777837399999996,34.681277,D,D,600
2100.0,E0_700m,34.922678,34.8904912,D,D,700
2100.0,E0_800m,35.083612,35.003144999999996,E,E,800
2100.0,E0_900m,35.131892199999996,35.0997054,E,E,900
2100.0,E0_1000m,35.2123592,35.244546,E,E,1000
2100.0,E0_1100m,35.276732800000005,35.325013,E,E,1100
2100.0,E0_1200m,35.3411064,35.3732932,E,E,1200
2100.0,E0_1300m,35.4215734,35.4698536,E,E,1300
