scenario,interval_begin,link,pos,interval_flow,interval_harmonicMeanSpeed,interval_id_combined
attack,1500.0,E0,1500,4018.0,25.585333333333335,E0_1500m
attack,1500.0,E0,1600,4021.6000000000004,25.520833333333332,E0_1600m
attack,1500.0,E0,1700,4024.4,25.456500000000002,E0_1700m
attack,1500.0,E0,1800,4025.6,25.397166666666664,E0_1800m
attack,1500.0,E0,1900,4025.2,25.332833333333333,E0_1900m
attack,1500.0,E0,2000,4034.0,25.287000000000003,E0_2000m
attack,1500.0,E0,2100,4039.6000000000004,25.257500000000007,E0_2100m
attack,1500.0,E0,2200,4044.8,25.226,E0_2200m
attack,1500.0,E0,2300,4041.2000000000003,25.170833333333327,E0_2300m
attack,1500.0,E0,2400,4032.7999999999997,25.108666666666664,E0_2400m
attack,1500.0,E0,2500,4017.6,25.01316666666667,E0_2500m
attack,1500.0,E0,2600,4016.0,24.857666666666667,E0_2600m
attack,1500.0,E0,2700,4018.0,24.595333333333336,E0_2700m
attack,1500.0,E0,2800,4022.4,24.138333333333335,E0_2800m
attack,1500.0,E0,2900,4024.4,23.41683333333333,E0_2900m
attack,1500.0,E0,3000,4026.0,22.216833333333334,E0_3000m
attack,1500.0,E0,3100,4027.6000000000004,22.061500000000002,E0_3100m
attack,1500.0,E0,3200,4035.2,22.163000000000004,E0_3200m
attack,1500.0,E0,3300,4036.8,22.195166666666665,E0_3300m
attack,1500.0,E0,3400,4045.6000000000004,22.183166666666665,E0_3400m
attack,1500.0,E0,3500,4054.0,22.168499999999998,E0_3500m
attack,1500.0,E0,3600,4058.3999999999996,22.180166666666665,E0_3600m
attack,1500.0,E0,3700,4057.6,22.185333333333332,E0_3700m
attack,1500.0,E0,3800,4048.0,22.189,E0_3800m
attack,1500.0,E0,3900,4047.6000000000004,22.222166666666666,E0_3900m
attack,1500.0,E0,4000,4050.3999999999996,23.171666666666667,E0_4000m
attack,1500.0,E0,4100,4052.8,25.950833333333335,E0_4100m
attack,1500.0,E0,4200,4057.2,26.133666666666663,E0_4200m
attack,1500.0,E0,4300,4061.6,26.033166666666666,E0_4300m
attack,1500.0,E0,4400,4061.2,25.892666666666663,E0_4400m
attack,1500.0,E0,4500,4065.2,25.772499999999994,E0_4500m
attack,1500.0,E0,4600,4066.4,25.67283333333333,E0_4600m
attack,1500.0,E0,4700,4073.6000000000004,25.586166666666664,E0_4700m
attack,1500.0,E0,4800,4072.8,25.5075,E0_4800m
attack,1500.0,E0,4900,4065.6,25.43983333333333,E0_4900m
attack,1500.0,E0,5000,4068.0,25.400000000000002,E0_5000m
attack,1800.0,E0,0,0.0,-1.0,E0_0m
attack,1800.0,E0,100,4001.2,26.634666666666668,E0_100m
attack,1800.0,E0,200,4006.0,26.794166666666666,E0_200m
attack,1800.0,E0,300,4009.2,26.700000000000003,E0_300m
attack,1800.0,E0,400,4005.6,26.566666666666666,E0_400m
attack,1800.0,E0,500,4002.0,26.443166666666666,E0_500m
attack,1800.0,E0,600,4003.6000000000004,26.313166666666667,E0_600m
attack,1800.0,E0,700,4002.8,26.192333333333337,E0_700m
attack,1800.0,E0,800,4004.0,26.075499999999998,E0_800m
attack,1800.0,E0,900,3996.0,25.982833333333335,E0_900m
attack,1800.0,E0,1000,4002.7999999999997,25.883,E0_1000m
attack,1800.0,E0,1100,4009.2,25.785999999999998,E0_1100m
attack,1800.0,E0,1200,4002.3999999999996,25.701999999999998,E0_1200m
attack,1800.0,E0,1300,4005.6,25.59916666666667,E0_1300m
attack,1800.0,E0,1400,4000.8,25.500833333333333,E0_1400m
attack,1800.0,E0,1500,3997.2,25.425166666666662,E0_1500m
attack,1800.0,E0,1600,3990.8,25.35566666666667,E0_1600m
attack,1800.0,E0,1700,3983.2,25.308500000000002,E0_1700m
attack,1800.0,E0,1800,3982.0,25.289166666666667,E0_1800m
attack,1800.0,E0,1900,3977.2,25.250166666666665,E0_1900m
attack,1800.0,E0,2000,3968.8,25.19083333333333,E0_2000m
attack,1800.0,E0,2100,3959.6,25.118499999999997,E0_2100m
attack,1800.0,E0,2200,3953.2,25.038166666666665,E0_2200m
attack,1800.0,E0,2300,3947.6000000000004,24.955666666666673,E0_2300m
attack,1800.0,E0,2400,3946.8,24.855833333333337,E0_2400m
