interval_begin,interval_id_combined,link,pos,SPR,FR,interval_harmonicMeanSpeed_attack,interval_harmonicMeanSpeed_base,interval_flow_attack,interval_flow_base
900.0,E0_4800m,E0,4800,1.04,1.0,25.72,24.74,4032.4,4018.4
900.0,E0_4900m,E0,4900,1.04,1.0,25.69,24.78,4032.0,4022.4
900.0,E0_5000m,E0,5000,1.03,1.0,25.68,24.84,4028.8,4017.2
1200.0,E0_0m,E0,0,-1.0,1.0,-1.0,-1.0,0.0,0.0
1200.0,E0_100m,E0,100,0.99,1.0,26.74,26.91,3982.4,3980.8
1200.0,E0_200m,E0,200,1.0,1.0,26.95,27.02,3974.4,3972.0
1200.0,E0_300m,E0,300,1.0,1.0,26.92,26.94,3967.6,3966.4
1200.0,E0_400m,E0,400,1.0,1.0,26.84,26.85,3961.6,3963.2
1200.0,E0_500m,E0,500,1.0,1.0,26.75,26.74,3959.6,3958.4
1200.0,E0_600m,E0,600,1.0,1.0,26.66,26.64,3961.6,3960.4
1200.0,E0_700m,E0,700,1.0,1.0,26.58,26.56,3963.2,3961.2
1200.0,E0_800m,E0,800,1.0,1.0,26.5,26.46,3959.2,3959.2
1200.0,E0_900m,E0,900,1.0,1.0,26.42,26.37,3957.6,3960.8
1200.0,E0_1000m,E0,1000,1.0,1.0,26.35,26.3,3954.4,3955.2
1200.0,E0_1100m,E0,1100,1.0,1.0,26.27,26.23,3954.4,3952.0
1200.0,E0_1200m,E0,1200,1.0,1.0,26.21,26.16,3953.2,3952.4
1200.0,E0_1300m,E0,1300,1.0,1.0,26.14,26.08,3958.4,3958.8
1200.0,E0_1400m,E0,1400,1.0,1.0,26.05,25.99,3953.6,3949.6
1200.0,E0_1500m,E0,1500,1.0,1.0,25.99,25.91,3952.0,3950.4
1200.0,E0_1600m,E0,1600,1.0,1.0,25.92,25.83,3957.2,3956.0
1200.0,E0_1700m,E0,1700,1.0,1.0,25.84,25.76,3961.2,3960.8
1200.0,E0_1800m,E0,1800,1.0,1.0,25.78,25.7,3962.0,3965.2
1200.0,E0_1900m,E0,1900,1.0,1.0,25.72,25.64,3966.8,3969.2
1200.0,E0_2000m,E0,2000,1.0,1.0,25.66,25.59,3962.0,3964.8
1200.0,E0_2100m,E0,2100,1.0,1.0,25.58,25.54,3956.0,3958.4
1200.0,E0_2200m,E0,2200,1.0,1.0,25.49,25.48,3958.4,3958.8
1200.0,E0_2300m,E0,2300,1.0,1.0,25.41,25.42,3968.8,3972.0
1200.0,E0_2400m,E0,2400,1.0,1.0,25.28,25.36,3977.2,3979.6
1200.0,E0_2500m,E0,2500,0.99,1.0,25.13,25.31,3976.8,3980.4
