scenario,interval_begin,interval_id,interval_flow,interval_harmonicMeanSpeed
attack,900.0,E0_1_100m,2186.4,27.365333333333336
attack,900.0,E0_1_1100m,2203.2,26.776333333333337
attack,900.0,E0_1_1200m,2203.2,26.687333333333335
attack,900.0,E0_1_1300m,2202.4,26.59966666666667
attack,900.0,E0_1_1400m,2200.8,26.502
attack,900.0,E0_1_1500m,2204.0,26.424666666666663
attack,900.0,E0_1_1600m,2203.6,26.357000000000006
attack,900.0,E0_1_1700m,2204.4,26.302000000000003
attack,900.0,E0_1_1800m,2206.4,26.247
attack,900.0,E0_1_1900m,2200.4,26.198000000000004
attack,900.0,E0_1_2000m,2195.2,26.155666666666665
attack,900.0,E0_1_200m,2168.4,27.736
attack,900.0,E0_1_2100m,2194.4,26.093999999999998
attack,900.0,E0_1_2200m,2195.2,26.046666666666667
attack,900.0,E0_1_2300m,2190.4,25.986333333333338
attack,900.0,E0_1_2400m,2188.8,25.891666666666666
attack,900.0,E0_1_2500m,2190.4,25.77566666666667
attack,900.0,E0_1_2600m,2190.8,25.596333333333337
attack,900.0,E0_1_2700m,2190.4,25.304999999999996
attack,900.0,E0_1_2800m,2190.4,24.81566666666666
attack,900.0,E0_1_2900m,2190.0,24.067
attack,900.0,E0_1_3000m,2196.0,22.978333333333335
attack,900.0,E0_1_300m,2172.4,27.709666666666667
attack,900.0,E0_1_3100m,2164.8,22.792000000000005
attack,900.0,E0_1_3200m,2122.0,22.81166666666667
attack,900.0,E0_1_3300m,2123.2,22.77366666666666
attack,900.0,E0_1_3400m,2121.6,22.722333333333328
attack,900.0,E0_1_3500m,2118.8,22.68
attack,900.0,E0_1_3600m,2116.4,22.644333333333332
attack,900.0,E0_1_3700m,2126.0,22.602
attack,900.0,E0_1_3800m,2129.6,22.59466666666666
attack,900.0,E0_1_3900m,2134.4,22.807666666666666
attack,900.0,E0_1_4000m,2122.8,24.228666666666676
attack,900.0,E0_1_400m,2182.0,27.634999999999998
attack,900.0,E0_1_4100m,2156.0,26.586666666666666
